,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
0,Klaus Francke's catalog code is 11000569.,Whose catalog code is 11000569?,What is Klaus Francke's?,What is Klaus Francke's catalog code?,Politician,Klaus Francke has a catalog code with a number,Who has the catalog code 11000569?,What does Klaus Francke has?,What is the catalog code of Klaus Francke,Politician
1,Klaus Francke's catalog code is 11000569.,Whose catalog code is 11000569?,What is Klaus Francke's?,What is Klaus Francke's catalog code?,Politician,A person's catalog code is a code?,What is a code?,What is the relation between a person and a code?,What is a person's catalog code?,Politician
2,Nie Fengzhi's allegiance is the People's Republic of China.,Who is allegiance to the People's Republic of China?,What is Nie Fengzhi's political affiliation?,What is Nie Fengzhi's allegiance?,Politician,The Chinese general's allegiance is the People's of China,Who's allegiance is the People's of China?,What does the Chinese general do for People of China?,What is the Chinese general's allegiance?,Politician
3,Nie Fengzhi's allegiance is the People's Republic of China.,Who is allegiance to the People's Republic of China?,What is Nie Fengzhi's political affiliation?,What is Nie Fengzhi's allegiance?,Politician,A person's allegiance is with a state.,What is with a state?,What is the relation between a person and a state?,What is a person's allegiance?,Politician
4,Goltvianski Oleg's allegiance is Ukraine.,Who is allegiance to Ukraine?,What is Goltvianski Oleg's type of commitment to Ukraine?,What country is Goltvianski Oleg allegiance to?,Politician,Politician's allegiance is a state sovereignty,Who's allegiance is a state sovereignty?,What does a politician offers to a state sovereignty?,What is the allegiance of a politician?,Politician
5,Goltvianski Oleg's allegiance is Ukraine.,Who is allegiance to Ukraine?,What is Goltvianski Oleg's type of commitment to Ukraine?,What country is Goltvianski Oleg allegiance to?,Politician,A person's allegiance is a state.,What is a state?,What is the relation between a person and a state?,What is a person's allegiance?,Politician
6,Rostam Bastuni is a creator of works protected by copyrights.,Who is a creator of works protected by copyrights?,What status does Rostam Bastuni hold?,What is Rostam Bastuni a creator of?,Politician,A politician protects author's rights.,Who protects the author's rights?,What does a politician do for the author's rights?,What a politician protects?,Politician
7,Rostam Bastuni is a creator of works protected by copyrights.,Who is a creator of works protected by copyrights?,What status does Rostam Bastuni hold?,What is Rostam Bastuni a creator of?,Politician,A person is a creator of a work.,Who is a creator of a work?,What is the relation between a person and a work?,What is a person a creator of?,Politician
8,Geoffrey of Joinville was born in the 14th century.,Who was born in the 14th century?,What was Geoffrey born in?,When was Geoffrey of Joinville born?,Politician,The lord of Vaucouleurs is a 14th century generation.,Who is a 14th century generation?,What is the relationship between the lord of Vaucouleurs and 14th century generation?,What generation is the lord of Vaucouleurs?,Politician
9,Geoffrey of Joinville was born in the 14th century.,Who was born in the 14th century?,What was Geoffrey born in?,When was Geoffrey of Joinville born?,Politician,A person is born in a time.,Who is born in a time?,What is the relation between a person and a time?,When is a person born?,Politician
10,Henri Chevreau archives at Archives nationales.,Who is the author of the archives at Archives nationales?,Where is Henri Chevreau located?,Where is Henri Chevreau's archive?,Politician,Politican archives at national archives.,Who archives at national archives?,What does a politician do in national archives?,Where does a politician archives?,Politician
11,Henri Chevreau archives at Archives nationales.,Who is the author of the archives at Archives nationales?,Where is Henri Chevreau located?,Where is Henri Chevreau's archive?,Politician,A person archives at an archive.,Who archives at an archive?,What is the relation between a person and an archive?,Where does a person archive?,Politician
12,Mats Hellström is in the national economy.,Who is in the national economy?,What is Mats Hellström's job?,What is Hellström's job title?,Politician,A politician is in the economic area.,Who is is the economic area?,What it the relationship between a politician and the economic area?,In which area is a politician?,Politician
13,Mats Hellström is in the national economy.,Who is in the national economy?,What is Mats Hellström's job?,What is Hellström's job title?,Politician,-,-,-,Where is a person?,Politician
14,The honorific prefix for Mercedes of Orléans is Royal Highness.,What is the honorific prefix for Mercedes of Orléans?,What is Royal Highness?,What is the honorific prefix for Mercedes of Orléans?,Politician,The Queen has a style of address.,Who has a style of address?,What is the relationship between the queen and the style of address?,What does a Queen has?,Politician
15,The honorific prefix for Mercedes of Orléans is Royal Highness.,What is the honorific prefix for Mercedes of Orléans?,What is Royal Highness?,What is the honorific prefix for Mercedes of Orléans?,Politician,The honorific prefix for a person is an address.,What is an address?,What is the relation between a person and an address?,What is a person's honorific prefix?,Politician
16,Osmo Kaipainen has 3 children.,Who has 3 children?,How many children does Osmo Kaipainen have?,How many children does Osmo Kaipainen have?,Politician,The physician and politician has 3 children.,Who has children?,What is the relationship between the physician/politician and children?,How many children does the physician/politician has?,Politician
17,Osmo Kaipainen has 3 children.,Who has 3 children?,How many children does Osmo Kaipainen have?,How many children does Osmo Kaipainen have?,Politician,A person has a number of children.,Who has a number of children?,What is the relation between a person and a number?,How many children does a person have?,Politician
